Trial,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
445,15,120,0.05,0.62,-0.24,1.4410088926050995
444,15,119,0.05,0.62,-0.24,1.4410088926050995
1609,31,84,0.05,0.56,-0.26,1.4409714553154485
1608,31,83,0.05,0.55,-0.26,1.4409714553154485
884,21,109,0.05,0.57,-0.19,1.4408461601926144
768,20,68,0.05,0.57,-0.25,1.4408406856182736
861,21,86,0.05,0.59,-0.2,1.4407398487384413
269,13,94,0.05,0.61,-0.22,1.4406557652712575
2234,39,109,0.05,0.51,-0.3,1.4402285369086276
2075,37,100,0.05,0.53,-0.27,1.440032306065766
1494,29,119,0.05,0.56,-0.26,1.439799723733167
426,15,101,0.05,0.6,-0.23,1.4397171015255577
436,15,111,0.05,0.61,-0.21,1.4395762253804298
2966,49,91,0.05,0.5,-0.3,1.4391041133829683
1827,34,77,0.05,0.54,-0.26,1.4386201198856285
548,17,73,0.05,0.59,-0.22,1.4385257125888065
185,12,85,0.05,0.61,-0.19,1.4385060858801086
124,11,99,0.05,0.62,-0.22,1.4381017981141861
634,18,84,0.05,0.59,-0.19,1.437715340564661
3039,50,90,0.05,0.49,-0.3,1.4375549391080136
3036,50,87,0.05,0.49,-0.3,1.4374439784925115
816,20,116,0.05,0.58,-0.21,1.437337342332536
1714,32,114,0.05,0.55,-0.26,1.4371883092865265
2006,36,106,0.05,0.54,-0.26,1.4371499268780719
2307,40,107,0.05,0.5,-0.3,1.4368254944301693
818,20,118,0.05,0.58,-0.21,1.4367988120431643
817,20,117,0.05,0.58,-0.21,1.4367988120431643
186,12,86,0.05,0.61,-0.19,1.4367674398062846
2149,38,99,0.05,0.53,-0.27,1.436679583814429
1531,30,81,0.05,0.55,-0.24,1.4366354467236329
741,19,116,0.05,0.58,-0.21,1.4366316115194735
879,21,104,0.05,0.57,-0.19,1.436445299375113
2965,49,90,0.05,0.49,-0.3,1.4359821116366005
1548,30,98,0.05,0.55,-0.23,1.4359519594971328
30,10,80,0.05,0.63,-0.17,1.435033876106684
6,10,56,0.05,0.61,-0.16,1.4350246208635309
640,18,90,0.05,0.59,-0.21,1.434797657876057
372,14,122,0.05,0.61,-0.23,1.434626275708709
1607,31,82,0.05,0.55,-0.26,1.4343430701112974
493,16,93,0.05,0.59,-0.23,1.4342548585763435
619,18,69,0.05,0.57,-0.25,1.4342276020031774
1602,31,77,0.05,0.54,-0.24,1.434118768449883
373,14,123,0.05,0.61,-0.23,1.4340020774555895
1682,32,82,0.05,0.55,-0.26,1.4337712090138846
782,20,82,0.05,0.58,-0.2,1.43332454269883
882,21,107,0.05,0.56,-0.2,1.4330439059825875
2005,36,105,0.05,0.54,-0.26,1.4326668031296579
620,18,70,0.05,0.57,-0.25,1.4323233422183155
1424,28,124,0.05,0.55,-0.26,1.4322351431824107
880,21,105,0.05,0.56,-0.19,1.4318282540992373
742,19,117,0.05,0.57,-0.21,1.4315162291800516
1346,27,121,0.05,0.55,-0.26,1.4314189988896209
2378,41,103,0.05,0.5,-0.3,1.4313222365441047
251,13,76,0.05,0.6,-0.2,1.4310347540905632
1680,32,80,0.05,0.54,-0.26,1.4310307915693798
1618,31,93,0.05,0.54,-0.23,1.4307207626777776
806,20,106,0.05,0.56,-0.2,1.430693791494914
707,19,82,0.05,0.58,-0.19,1.4306313566071815
720,19,95,0.05,0.58,-0.2,1.4304664910008076
744,19,119,0.05,0.57,-0.21,1.4302113208410094
739,19,114,0.05,0.57,-0.2,1.4293682905571794
2964,49,89,0.05,0.49,-0.3,1.4292880836483208
694,19,69,0.05,0.56,-0.25,1.429198437420917
859,21,84,0.05,0.58,-0.21,1.4287764359379234
439,15,114,0.05,0.6,-0.24,1.4287149403449588
564,17,89,0.05,0.58,-0.2,1.428630704836016
1908,35,83,0.05,0.53,-0.23,1.4285494305079012
1347,27,122,0.05,0.54,-0.26,1.4281858626439594
449,15,124,0.05,0.6,-0.25,1.428097780041324
46,10,96,0.05,0.62,-0.2,1.4280377157476467
862,21,87,0.05,0.58,-0.22,1.4276758509931566
349,14,99,0.05,0.59,-0.22,1.427588296684865
2222,39,97,0.05,0.52,-0.27,1.4271799383958044
2148,38,98,0.05,0.52,-0.27,1.4271799383958044
897,21,122,0.05,0.56,-0.26,1.4270279011955658
563,17,88,0.05,0.58,-0.2,1.42692581374628
21,10,71,0.05,0.62,-0.17,1.4268179446555755
1530,30,80,0.05,0.54,-0.24,1.42661072466961
2212,39,87,0.05,0.51,-0.26,1.4265660172944137
1713,32,113,0.05,0.54,-0.26,1.4262526708617302
117,11,92,0.05,0.61,-0.18,1.425905428098037
437,15,112,0.05,0.6,-0.22,1.4258245748617087
2221,39,96,0.05,0.52,-0.27,1.4255821104307396
3038,50,89,0.04,0.48,-0.3,1.4255623365062045
562,17,87,0.05,0.58,-0.19,1.425479960656934
1496,29,121,0.05,0.54,-0.26,1.4251443442134055
885,21,110,0.05,0.56,-0.2,1.4244795570018733
621,18,71,0.05,0.56,-0.25,1.4243510875285683
42,10,92,0.05,0.61,-0.18,1.4242023303525935
1528,30,78,0.05,0.53,-0.25,1.4240576243150214
1829,34,79,0.05,0.53,-0.24,1.4240263292776392
883,21,108,0.05,0.55,-0.2,1.4240045255917777
2379,41,104,0.05,0.49,-0.3,1.4239716808660186
345,14,95,0.05,0.59,-0.23,1.4239254289671668
1474,29,99,0.05,0.54,-0.23,1.4238939897088283
745,19,120,0.05,0.57,-0.21,1.4237876201050375
633,18,83,0.05,0.57,-0.19,1.4236981034356724
637,18,87,0.05,0.58,-0.19,1.4236131693281329
635,18,85,0.05,0.58,-0.18,1.4232386538398742
860,21,85,0.05,0.57,-0.2,1.4231763841862664
2745,46,95,0.04,0.48,-0.3,1.423129333898086
1620,31,95,0.05,0.53,-0.23,1.4230194078458904
1619,31,94,0.05,0.53,-0.23,1.4230194078458904
2079,37,104,0.05,0.49,-0.3,1.4230164005342283
1532,30,82,0.05,0.54,-0.26,1.422904818728437
639,18,89,0.05,0.58,-0.21,1.4228452350143046
497,16,97,0.05,0.58,-0.23,1.4224619829595517
1420,28,120,0.05,0.54,-0.26,1.4224382675338623
350,14,100,0.05,0.58,-0.22,1.4220713933551419
43,10,93,0.05,0.61,-0.18,1.421942056118796
511,16,111,0.05,0.59,-0.22,1.4216433702187274
498,16,98,0.05,0.58,-0.23,1.4214273250513607
1755,33,80,0.05,0.53,-0.25,1.4212479656256318
1566,30,116,0.05,0.53,-0.26,1.421235976670815
1565,30,115,0.05,0.53,-0.26,1.4210823582963554
767,20,67,0.05,0.55,-0.23,1.421040659760387
2152,38,102,0.05,0.49,-0.3,1.4209498755668053
495,16,95,0.05,0.58,-0.24,1.4204378298411833
438,15,113,0.05,0.59,-0.24,1.4203981701943258
568,17,93,0.05,0.58,-0.22,1.420170078797452
5,10,55,0.05,0.59,-0.16,1.4198410346075512
77,11,52,0.05,0.58,-0.15,1.4197348543688113
346,14,96,0.05,0.58,-0.23,1.418902751626055
123,11,98,0.05,0.6,-0.2,1.4188600472177995
2139,38,89,0.05,0.5,-0.26,1.4188046362484907
1754,33,79,0.05,0.53,-0.27,1.418627481680627
32,10,82,0.05,0.61,-0.18,1.4186078752382298
740,19,115,0.05,0.56,-0.21,1.418393265620083
790,20,90,0.05,0.57,-0.22,1.4183399594327626
789,20,89,0.05,0.57,-0.22,1.418324856455541
1533,30,83,0.05,0.53,-0.26,1.418133950114268
1605,31,80,0.05,0.53,-0.26,1.4180548986911825
567,17,92,0.05,0.57,-0.23,1.417831390543858
2895,48,95,0.04,0.48,-0.3,1.4176776102520448
544,17,69,0.05,0.56,-0.25,1.4176537336006136
2054,37,79,0.05,0.52,-0.22,1.417428030989522
2024,36,124,0.05,0.5,-0.3,1.416977123296172
1603,31,78,0.05,0.52,-0.27,1.416891192207693
1948,35,123,0.05,0.5,-0.3,1.4168047946636253
706,19,81,0.05,0.56,-0.19,1.416683185920032
2890,48,90,0.04,0.47,-0.3,1.4166583944536284
2099,37,124,0.05,0.5,-0.3,1.4164388933670882
20,10,70,0.05,0.6,-0.16,1.4160077373910882
1547,30,97,0.05,0.53,-0.23,1.415994054688665
565,17,90,0.05,0.57,-0.21,1.4157056908275372
881,21,106,0.05,0.54,-0.2,1.4156909886209945
1639,31,114,0.05,0.53,-0.26,1.4154924746672448
1825,34,75,0.04,0.52,-0.26,1.4152127633740046
502,16,102,0.05,0.57,-0.23,1.4151519363792742
35,10,85,0.05,0.61,-0.19,1.4150757039283672
547,17,72,0.05,0.56,-0.22,1.4148274118626385
1826,34,76,0.04,0.52,-0.26,1.414672155319621
36,10,86,0.05,0.61,-0.19,1.4146703515632268
570,17,95,0.05,0.57,-0.23,1.4146162138272922
96,11,71,0.05,0.59,-0.18,1.4146101264038864
477,16,77,0.05,0.57,-0.22,1.414543940665482
2235,39,110,0.04,0.48,-0.3,1.414256070247829
2818,47,93,0.04,0.47,-0.3,1.4142368670031564
1614,31,89,0.05,0.52,-0.22,1.413725019167755
473,16,73,0.05,0.56,-0.24,1.413537831234554
